current_time,next_time,current_scene,current_wet_weight,next_wet_weight,target_wet_weight,required_reduction,expected_reduction,noise_scope,noise_mean,noise_std,sampled_noise,noisy_expected_reduction,predicted_next_wet_weight,noisy_predicted_next_wet_weight,actual_next_reduction,strategy_type,has_recommendation,hit_reduce_direction,hit_reduce_direction_noisy,signed_error,abs_error,noisy_signed_error,noisy_abs_error
2025-12-23 10:09:25,2025-12-23 12:19:12,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=90-100万,29.4,29.4,29.31,0.08999999999999986,0.6236839364505794,global,-0.0006302521008403376,0.663087080806035,0.15331292188753767,0.776996858338117,28.77631606354942,28.623003141661883,0.0,joint,1,0,0,-0.6236839364505794,0.6236839364505794,-0.776996858338117,0.776996858338117
2025-12-23 12:19:12,2025-12-23 14:02:12,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=90-100万,29.4,29.7,29.345,0.054999999999999716,0.6236839364505794,scene,0.0,0.6546536707079764,0.07638879327350807,0.7000727297240875,28.77631606354942,28.69992727027591,-0.3000000000000007,joint,1,0,0,-0.9236839364505801,0.9236839364505801,-1.0000727297240881,1.0000727297240881
2025-12-23 14:02:12,2025-12-23 16:24:29,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=90-100万,29.7,28.5,29.38,0.3200000000000003,0.6236839364505794,scene,0.03750000000000009,0.6203577596838773,0.17316516793522146,0.7968491043858008,29.07631606354942,28.9031508956142,1.1999999999999993,joint,1,1,1,0.5763160635494199,0.5763160635494199,0.4031508956141985,0.4031508956141985
2025-12-23 16:24:29,2025-12-23 18:41:56,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=90-100万,28.5,27.900000000000002,29.315,0.0,1.2473678729011588,scene,-0.09999999999999984,0.7023769168568487,0.5120714583155811,1.7594393312167398,27.252632127098842,26.74056066878326,0.5999999999999979,joint,1,1,1,-0.6473678729011609,0.6473678729011609,-1.159439331216742,1.159439331216742
2025-12-23 18:41:56,2025-12-23 19:42:12,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=90-100万,27.900000000000002,29.5,29.25,0.0,1.2473678729011588,scene,-0.14999999999999963,0.6830080526611667,0.0027175603523010294,1.2500854332534599,26.652632127098844,26.649914566746542,-1.5999999999999979,joint,1,0,0,-2.847367872901157,2.847367872901157,-2.850085433253458,2.850085433253458
2025-12-23 19:42:12,2025-12-23 21:35:47,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=90-100万,29.5,29.4,29.285,0.21499999999999986,0.6236839364505794,scene,0.00909090909090922,0.8229155987369704,0.5677794703368676,1.191463406787447,28.87631606354942,28.30853659321255,0.10000000000000142,joint,1,1,1,-0.523683936450578,0.523683936450578,-1.0914634067874456,1.0914634067874456
2025-12-23 21:35:47,2025-12-23 23:45:22,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=90-100万,29.4,28.8,29.32,0.0799999999999983,0.6236839364505794,scene,0.0,0.7884584115009906,0.05328328577992642,0.6769672222305059,28.77631606354942,28.723032777769493,0.5999999999999979,joint,1,1,1,-0.023683936450581533,0.023683936450581533,-0.076967222230508,0.076967222230508
2025-12-23 23:45:22,2025-12-24 01:33:44,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=100-110万,28.8,29.2,28.8,0.0,1.2473678729011588,global,-0.0012513034410844622,0.6644546623878861,0.1908554290052576,1.4382233019064163,27.552632127098843,27.361776698093585,-0.3999999999999986,joint,1,0,0,-1.6473678729011574,1.6473678729011574,-1.838223301906415,1.838223301906415
2025-12-24 01:33:44,2025-12-24 03:51:43,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=100-110万,29.2,29.4,28.94,0.259999999999998,0.6236839364505794,global,-0.000833333333333334,0.6642346263850515,0.41849016549781154,1.042174101948391,28.57631606354942,28.15782589805161,-0.1999999999999993,joint,1,0,0,-0.8236839364505787,0.8236839364505787,-1.2421741019483903,1.2421741019483903
2025-12-24 03:51:43,2025-12-24 05:51:35,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=100-110万,29.4,29.5,29.08,0.3200000000000003,0.6236839364505794,global,-0.0006243496357960473,0.66392051712501,-0.968059995086088,-0.3443760586355086,28.77631606354942,29.744376058635506,-0.10000000000000142,joint,1,0,0,-0.7236839364505808,0.7236839364505808,0.24437605863550715,0.24437605863550715
2025-12-24 05:51:35,2025-12-24 08:11:04,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=100-110万,29.5,29.8,29.21,0.28999999999999915,0.6236839364505794,global,-0.0005197505197505198,0.6635832767651944,-0.21264822375764392,0.4110357126929355,28.87631606354942,29.088964287307064,-0.3000000000000007,joint,1,0,0,-0.9236839364505801,0.9236839364505801,-0.7110357126929362,0.7110357126929362
2025-12-24 08:11:04,2025-12-24 12:34:26,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=0-10万,29.8,29.7,28.9,0.9000000000000021,1.636307400417119,scene,0.07500000000000018,1.0304731922762485,-0.409706410628549,1.22660098978857,28.16369259958288,28.573399010211432,0.10000000000000142,joint,1,1,1,-1.5363074004171176,1.5363074004171176,-1.1266009897885685,1.1266009897885685
